CITY,STATE,  JAN,   FEB,   MAR,   APR,   MAY,   JUN,  JUL,   AUG,   SEP,   OCT,   NOV,   DEC
ALPENA, MI                    ,1.66,1.32,1.86,2.39,2.67,2.62,3.03,3.23,2.92,2.61,2.1,1.75
DETROIT, MI                   ,1.4,1.7,2.02,2.78,3.07,3.25,3.03,3.16,3.39,2.72,2.84,1.97
FLINT, MI                     ,1.63,1.48,1.91,2.89,3.08,3.07,3.32,3.18,3.75,2.47,2.67,1.92
GRAND RAPIDS, MI              ,2.09,1.79,2.37,3.35,3.98,3.77,3.78,3.59,4.28,3.26,3.51,2.5
HOUGHTON LAKE, MI             ,1.51,1.21,1.84,2.48,2.82,3.1,2.76,3.4,3.1,2.56,2.32,1.65
LANSING, MI                   ,1.65,1.47,2.06,3.03,3.36,3.45,2.84,3.23,3.5,2.53,2.78,1.87
MARQUETTE, MI                 ,1.83,1.31,2,2.45,2.53,2.68,2.82,2.63,3.16,3.13,2.62,1.97
MUSKEGON, MI                  ,2.03,1.83,2.25,2.91,3.25,2.55,2.37,3.39,3.89,3.11,3.36,2.55
SAULT STE. MARIE, MI          ,2.19,1.34,1.95,2.39,2.57,2.7,2.86,3.17,3.82,3.8,3.37,2.79
DULUTH, MN                    ,0.96,0.81,1.49,2.43,3.23,4.23,3.85,3.7,4.11,2.85,2.09,1.21
INTERNATIONAL FALLS, MN       ,0.62,0.57,0.95,1.53,2.86,3.92,3.7,2.81,2.99,2.08,1.38,0.81
MINNEAPOLIS-ST.PAUL, MN       ,0.9,0.77,1.89,2.66,3.36,4.25,4.04,4.3,3.08,2.43,1.77,1.16
ROCHESTER, MN                 ,0.86,0.83,1.88,3.24,3.63,4.68,4.55,4.52,3.45,2.24,1.91,1.23
SAINT CLOUD, MN               ,0.65,0.59,1.55,2.57,2.95,4.17,3.31,3.79,3.46,2.49,1.38,0.82
JACKSON, MS                   ,5.01,4.39,5.1,5.11,4.85,4.13,4.55,4.01,3.22,3.99,4.77,5.19
MERIDIAN, MS                  ,5.13,5.6,5.42,4.78,4.5,4.4,5.14,3.99,3.43,3.76,4.95,5.06
TUPELO, MS                    ,4.48,4.96,4.82,4.78,5.56,4.52,3.9,3.45,3.44,4.12,4.7,6.28
COLUMBIA, MO                  ,1.92,2.25,2.91,4.49,4.98,4.47,4.37,4.36,3.87,3.31,3.25,2.44
KANSAS CITY, MO               ,1.14,1.48,2.15,3.71,5.13,5.52,3.97,4.39,4.16,3.52,2.14,1.75
ST. LOUIS, MO                 ,2.4,2.24,3.32,3.69,4.72,4.28,4.11,2.99,3.13,3.33,3.91,2.84
SPRINGFIELD, MO               ,2.47,2.52,3.62,4.32,5.1,4.85,3.68,3.55,4.61,3.59,4.22,3.04
BILLINGS, MT                  ,0.48,0.48,1.06,1.66,2.18,2.12,1.32,0.75,1.3,1.18,0.63,0.5
GLASGOW, MT                   ,0.37,0.26,0.42,0.85,1.92,2.33,1.78,1.24,0.94,0.75,0.4,0.4
GREAT FALLS, MT               ,0.51,0.47,0.91,1.42,2.42,2.53,1.5,1.57,1.42,0.86,0.59,0.55
HAVRE, TX                     ,0.33,0.28,0.54,0.84,1.74,2.19,1.64,1.11,1.12,0.58,0.43,0.4
HELENA, MT                    ,0.36,0.3,0.59,0.98,1.87,2.06,1.19,1.2,1.1,0.68,0.49,0.4
KALISPELL, MT                 ,1.33,0.97,1.09,1.24,1.98,2.56,1.45,0.99,1.38,1.01,1.43,1.56
